type,item,meaning,example
ideo,儼若,1.恭敬貌。 語出《禮記‧曲禮上》： “毋不敬， 儼若思。”,  晉 葛洪 《抱樸子‧譏惑》： “故儼若冠於《曲禮》， 望貌首於五事， 出門有見賓之肅， 閑居有敬獨之戒。” 
ideo,儽然,1.頹喪貌。 ; 2.疲困貌。  ,NA;   明 劉基 《渡江遣懷》詩： “儽然多病身， 全家倚糊口。” 
Q,兀,1.高聳貌。  ; 3.謂獨立貌。  ; 6.無知貌。  ; 7.昏沉貌。  ,《說文‧兒部》： “兀， 高而上平也。” ;   清 吳從先 《金小品傳》： “焉有翡翠橫肩， 援琴合膝， 而能兀焉自立者也？” 郁達夫 《沉淪》： “他總裝出一種兀不可犯的樣子來。” ; 《文選‧孫綽〈游天臺山賦〉》： “渾萬象以冥觀， 兀同體於自然。” ;   晉 劉伶 《酒德頌》： “兀然而醉， 豁爾而醒。” 
ideo,兀剌,2.無力貌。  ,  元 白樸 《梧桐雨》第四摺： “悶打頦和衣臥倒， 軟兀剌方纔睡着。” 
ideo,兀突,1.高聳突出貌。 ,  明 許自昌 《水滸記‧慕義》： “但見四山兀突， 一水濴洄。” 
ideo,充充,1.悲戚貌。 ; 2.喜悅貌。  ,《禮記‧檀弓上》： “始死， 充充如有窮。” ;   唐 沈亞之 《與潞鄜州書》： “ 亞之 納喜於心， 充充焉捶馬走僕， 忘其勞， 失其怠。” 
ideo,充屈,1.鬱結貌。 ,《文選‧馬融＜長笛賦＞》： “充屈鬱律， 瞋菌碨柍。” 
ideo,充悅,1.欣喜自得貌。 ,  唐 張鷟 《朝野僉載》卷三： “其 何婆 士女填門， 餉遺滿道， 顏色充悅， 心氣殊高。” 
ideo,充然,1.滿足貌。 ; 2.猶浩然。 盛大貌。  ,  唐 韓愈 《上巳日燕太學聽彈琴詩序》： “坐於樽俎之南， 鼓 有虞氏 之《南風》……及暮而退， 皆充然若有得也。” ;   明 方孝孺 《贈王生序》： “ 王生 年二十餘， 調為 寧海 關市吏， 其容凝然， 其氣充然， 其守甚確。” 
ideo,兇兇,1.兇惡貌。 ,《文子‧上德》： “兇兇者獲， 提提者射。 故大白若辱， 廣德若不足。” 
ideo,光光,1.顯赫威武貌。 ; 2.明亮貌。  ; 4.裸露貌。  ,《漢書‧敘傳下》： “ 子明 光光， 發跡西疆， 列於禦侮， 厥子亦良。” ; 《樂府詩集‧橫吹曲辭五‧梁鼓角橫吹曲‧地驅樂歌》： “月明光光星欲墮， 欲來不來早語我。” ; 《二十年目睹之怪現狀》第六二回： “腳穿的是一雙粉底內城式京靴， 頭上卻是光光的沒有戴帽。” 
ideo,光光乍,1.端正乾凈貌。 ,  明 湯顯祖 《邯鄲記‧入夢》： “帽兒抹的光光乍， 燈兒照的嬌嬌奼。” 
ideo,光朗朗,1.明亮貌。 ,  明 湯式 《端正好‧題梧月堂》套曲： “青藹藹參差遶翠楹， 光朗朗玲瓏透碧櫺。” 
ideo,光溜溜,1.光滑貌。 ; 2.裸露貌；光凈貌。  ,《西游記》第八二回： “山腳下有一塊大石， 約有十餘里方圓；正中有缺口大的一個洞兒， 爬得光溜溜的。” ;   華山 《大戈壁之夜》： “水這樣涼， 風這樣硬， 他在風沙裏脫得光溜溜的， 就往河裏縱身一跳。” 
Q,兟,3.眾多貌。 參見“ 兟兟 ”。,NA
ideo,兢兢業業,1.謹慎戒懼貌。 ,《書‧皋陶謨》： “兢兢業業， 一日二日萬幾。” 
not,全人,4.指整個人、整個面貌。  ,  魯迅 《且介亭雜文二集‧“題未定”草（七）》： “不過我總以為倘要論文， 最好是顧及全篇， 並且顧及作者的全人， 以及他所處的社會狀態， 這才較為確鑿。” 
Q,冏,3.鳥飛貌。 參見“ 冏然 ”。,NA
ideo,冏然,1.明亮貌。 ; 2.鳥飛貌。  ,  晉 郭璞 《井賦》： “乃回澄以靜映， 狀冏然而鏡灼。” ; 《文選‧木華＜海賦＞》： “望濤遠決， 冏然鳥逝。” 
saying,冠玉,2.形容男子的美貌。  ,《醒世恒言‧錢秀才錯占鳳凰儔》： “ 錢青 端坐轎中， 美如冠玉， 無不喝采。” 
ideo,冥寞,5.幽深貌。  ; 7.廣漠無際貌。  ,  唐 杜甫 《萬丈潭》詩： “青溪含冥寞， 神物有顯晦。” ;   明 夏邦謨 《思友賦寄楊用修》： “謇廓落而冥寞兮， 阻容與以優游。”
ideo,冥然,1.恍惚不可捉摸貌。 ; 2.玄默貌。  ; 3.昏迷貌。  ; 4.愚昧無知貌。  ,《淮南子‧道應訓》： “冥然忽然， 視之不見其形， 聽之不聞其聲。” ;   晉 殷仲堪 《天聖論》： “天者為萬物之根本， 冥然而不言， 百姓生而不用其功， 萬物成而不疲其勞。” ;   唐 薛用弱 《集异記補編‧凌華》： “命酒與對酌別， 飲數盃， 冥然無所知。” ;   田北湖 《論文章源流》： “最古之民， 冥然罔覺， 偏隅為固， 八風不通。” 
ideo,冥緬,2.幽遠貌。  ,  北魏 酈道元 《水經注‧溫水》： “負郭接山， 榛棘蒲薄， 騰林拂雲， 幽煙冥緬， 非生人所安。”
ideo,冥蒙,2.濃密貌。  ,  唐 元稹 《松樹》詩： “槐樹夾道植， 枝葉俱冥蒙。” 
ideo,冪冪,1.濃密貌。 ; 2.覆被貌。  ,  唐 韓愈 《叉魚招張功曹》詩： “蓋江煙冪冪， 拂棹影寥寥。” ;   唐 賈至 《巴陵寄李二戶部張十四禮部》詩： “ 江 南春草初冪冪， 愁殺 江 南獨愁客。”
ideo,冪歷,1.分布覆被貌。 ; 2.瀰漫籠罩貌。  ,  宋 梅堯臣 《和壽州宋待制九題‧齊雲亭》： “浩蕩孤思發， 冪歷蔓草齊。” ;   宋 梅堯臣 《依韻和孫浦二都官展墓由大明精舍而歸》： “歸鞍卻望原頭路， 冪歷輕煙物景沈。” 
ideo,冶容,2.艷麗的容貌。  ,  漢 袁康 《越絕書‧外傳記計倪傳》： “傾城傾國， 思昭示於後王；麗質冶容， 宜求監於前史。” 
ideo,凄其,2.寒涼貌。  ,  元 張養浩 《長安孝子》詩： “退省百無有， 滿屋風凄其。” 
ideo,凄凄,3.萋萋。 茂盛貌。  ,  唐 無名氏 《甘棠靈會錄》： “春草凄凄春水綠， 野棠開盡飄香玉。” 
ideo,凄然,1.寒冷貌。 ,《文選‧向秀＜思舊賦＞》： “余逝將西邁， 經其舊廬， 于時日薄 虞淵 ， 寒冰凄然。” 
ideo,凶凶,1.氣勢凶猛貌。 ; 2.喧擾貌。  ,  漢 趙曄 《吳越春秋‧王僚使公子光傳》： “ 子胥 曰： ‘請丈人姓字。 ’漁父曰： ‘今日凶凶， 兩賊相逢， 吾所謂渡 楚 賊也。 兩賊相得， 得形於默， 何用姓字為？’” ; 《孔叢子‧答問》： “鄰人聞其凶凶也， 窺而見之， 趨而救之。” 
ideo,刁調,1.動搖貌。 多形容草木。 ,《鏡花緣》第八八回： “眇孤蓬之振根兮， 每刁調而難住。” 
ideo,刁騷,1.頭髮稀落貌。 ,  宋 歐陽修 《齋宮尚有殘雪思作學士時攝事於此嘗有＜聞鶯詩＞寄原父因而有感》詩之三： “休把青銅照雙鬢， 君謨 今已白刁騷。” 
Q,刓,6.陡峭如刀削貌。  ,NA
Q,刖,3.危貌。 參見“ 搖刖 ”、“ 槷刖 ”。,NA
ideo,列列,2.高聳貌。  ; 3.風吹貌。  ,《文選‧張衡＜西京賦＞》： “橧桴重棼， 鍔鍔列列。” ; 《文選‧成公綏＜嘯賦＞》： “列列飆揚， 啾啾響作。” 
ideo,削削,1.纖弱貌。 ; 2.陡峭貌。  ; 3.凜冽貌。  ,  唐 元稹 《夜池》詩： “荷葉團團莖削削， 綠萍面上紅衣落。” ; 《西游記》第四八回： “巧石山頭， 削削尖峰排玉筍。” ;   蔣光慈 《在黑夜裏－－致劉華同志之靈》詩： “陰雲遮蔽了光明的太陽， 在北風削削的 靜安寺路 上， 一個剛出病院的少年行走着。”
ideo,削然,2.猶闃然。 寂靜貌。  ,  唐 孫樵 《復召堰籍》： “凡其所居， 鏗耀有聞， 及為 潞州 ， 聲光削然， 將發戍兵， 甲興而譁。” 
ideo,削約,2.稀疏細小貌。  ,  宋 周紫芝 《虞美人‧西池見梅作》詞： “短牆梅粉香初透， 削約寒枝瘦。”
Q,剜,3.方言。 深視貌。  ,  姚雪垠 《長夜》九： “小伕子不放心地向 菊生 剜了一眼， 好像是警告說： ‘不准動， 別老想跑！’”
ideo,剝落,6.落拓貌。  ,  宋 葉適 《＜徐斯遠文集＞序》： “徐觀筆墨輕重， 以十一斂藏千百， 雖鋪寫縱放， 亦無怠惰剝落之態。”
ideo,剡剡,1.起行貌。 ; 2.閃爍貌。  ; 3.銳利貌。  ; 4.風微起貌。  ,《禮記‧玉藻》： “弁行， 剡剡起屨。” ; 《楚辭‧離騷》： “皇剡剡其揚靈兮， 告余以吉故！” 唐 杜甫 《行官張望補稻畦水歸》詩： “芊芊炯翠羽， 剡剡生銀漢。” ;   宋 曾鞏 《離齊州後》詩之三： “文犀剡剡穿林筍， 翠靨田田出水荷。” ;   宋 王安石 《晚興和沖卿學士》詩： “剡剡風生晚， 娟娟月上初。”
ideo,剪剪,1.齊整貌。 ; 2.風拂或寒氣侵襲貌。  ; 3.飄動貌；閃忽貌。  ,  宋 曾鞏 《王君俞哀詞》： “眾人剪剪兮趨慕要津， 我躬處方兮不誇。” ;   金 張翰 《再過回公寺》詩： “輕寒剪剪侵駝褐， 小雪霏霏入蜃樓。” ;   明 蔣爾璵 《浣溪沙》詞： “剪剪輕雲片片霞。” 
ideo,剽急,3.水流湍急貌。  ,  清 劉獻廷 《廣陽雜記》卷二： “其水黝黑， 約三百里， 奔流剽急。”
Q,劓,4.不安貌。 參見“ 劓刖 ”。,NA
ideo,劓刖,2.危殆不安貌。  ,  漢 王符 《潛夫論‧夢列》： “傾倚徵邪， 劓刖不安。”
ideo,劬劬,1.勞苦貌。 ; 2.匆遽貌。  ,  唐 賈島 《義雀行和朱評事》： “雙雀抱人義， 哺食勞劬劬。” ;   元 無名氏 《凍蘇秦》第二摺： “馬兒上簪簪穩坐的， 當街裏劬劬恁炒戚。”
Q,勃,2.變色貌。  ; 3.興起貌。  ; 4.盛貌。  ,《論語‧鄉黨》： “君召使擯， 色勃如也。” ;   唐 元稹 《處分幽州德音》： “由是網漏吞舟， 視盜不謹， 寇 羯 乘釁， 勃為妖氛， 天下持兵， 垂七十載。”參見“ 勃然 ”。  ;   漢 劉向 《說苑‧建本》： “二子者往觀乎南山之陰， 見梓勃焉， 實而俯。” 
ideo,勃勃,1.興盛貌。 ; 2.煙氣上升貌。  ,《淮南子‧時則訓》： “勃勃陽陽， 惟德是行， 養老化育， 萬物蕃昌。” ; 《隋書‧天文志下》： “敵上氣如粉如塵者， 勃勃如煙， 或五色雜亂， 或東西南北者， 其軍欲敗。” 
ideo,勃騰騰,1.煙氣上升貌。 ; 2.怒氣上升貌。  ,  元 馬致遠 《岳陽樓》第二摺： “恰行過高聳聳臥仙臺 陳摶 華山 ， 又過了勃騰騰來紫氣 老子 函關 。” ;   元 紀君祥 《趙氏孤兒》第四摺： “憋支支惡心煩， 勃騰騰生忿怒。” 
ideo,勃鬱,2.風回旋貌。  ,《文選‧宋玉＜風賦＞》： “夫庶人之風， 塕然起於窮巷之間， 堀堁揚塵， 勃鬱煩冤， 衝孔襲門。” 
ideo,勞勞,1.憂愁傷感貌。 ; 3.猶落落。 稀疏貌。  ,《玉臺新詠‧古詩＜為焦仲卿妻作＞》： “舉手長勞勞， 二情同依依。” ;   唐 李賀 《夜飲朝眠曲》： “觴酣出座東方高， 腰橫半解星勞勞。” 
ideo,勻勻,1.廣平貌。 ; 2.均勻貌。  ,NA;   宋 蘇轍 《次韻遲千葉牡丹》之一： “園夫漫接曾無種， 物化相乘豈有神。 畢竟春風不揀擇， 隨開隨落自勻勻。” 
ideo,勿勿,1.猶勉勉。 勤懇不懈貌。 ; 2.猶忽忽。 憂愁貌。 “勿”與“忽”聲近而義同。  ; 3.指恍忽貌。  ,《禮記‧禮器》： “卿大夫從君， 命婦從夫人， 洞洞乎其敬也， 屬屬乎其忠也， 勿勿乎其欲其饗之也。” ; 《大戴禮記‧曾子制言中》： “故君子無悒悒於貧， 無勿勿於賤， 無憚憚於不聞。” ;   晉 王羲之 《問慰諸帖》上： “吾頃胸中惡， 不欲食， 積日勿勿， 五六日來小差， 尚甚虛劣。” 
ideo,匆匆,2.心不定貌；恍忽貌。  ,  宋 鄒浩 《悼陳生》詩： “還家妻子久黃壤， 單形隻影反匆匆。” 
ideo,匡勷,2.惶遽不安貌。  ,  清 黃宗羲 《子劉子行狀上》： “單丁下戶， 則緩其銜轡， 周其情隱；雖兵革匡勷， 皆有恃而不恐。”
ideo,匡攘,1.憂懼不安貌。 ,《九嘆‧逢紛》“阻相薄兮” 漢 王逸 注： “以言忠臣逢讒人， 亦匡攘惶遽而竄伏也。” 
Q,匪,6.通“ 斐 ”。 有文采貌。  ,《詩‧衛風‧淇奧》： “有匪君子， 如切如磋， 如琢如磨。” 
ideo,千千,2.青色貌。  ,《文選‧宋玉＜高唐賦＞》： “仰視山顛， 肅何千千， 炫燿虹蜺。” 
ideo,千眠,1.光色鮮明貌。 ; 2.幽深貌。,《文選‧陸機＜文賦＞》： “或藻思綺合， 清麗千眠。” ; NA
ideo,卑卑,1.奮勉貌。 ,《史記‧老子韓非列傳贊》： “ 申子 卑卑， 施之於名實。” 
ideo,卑陬,1.慚愧不安貌。 ,《莊子‧天地》： “ 子貢 卑陬失色， 頊頊然不自得， 行三十里而後愈。” 
ideo,卓卓,1.高遠貌。 ,  漢 嚴忌 《哀時命》： “處卓卓而日遠兮， 志浩蕩而傷懷。” 
ideo,卓然,1.卓越貌。 ,  漢 劉向 《說苑‧建本》： “塵埃之外， 卓然獨立， 超然絕世， 此上聖之所遊神也。” 
ideo,危危,2.高峻貌。  ,  元 薩都剌 《石夫人》詩： “危危獨立向江濱， 四伴無人水作鄰。” 
ideo,危顛,2.腳步不穩貌。  ,  明 沈采 《千金記‧省女》： “聞岳母遠勞垂念， 急趨回迎接， 步履危顛。”
Q,卷,3.通“ 婘 ”。 美好貌。  ; 5.通“ 拳 ”。 忠懇貌。 參見“ 卷卷 ”。  ,《詩‧陳風‧澤陂》： “有美一人， 碩大且卷。” ; IV
ideo,卷卷,1.忠誠貌；懇切貌。 ; 2.零落貌；乾縮蜷曲貌。  ,《漢書‧賈捐之傳》： “臣幸得遭明盛之朝， 蒙危言之策， 無忌諱之患， 敢昧死竭卷卷。” ;   唐 韓愈 《秋懷》詩之八： “卷卷落地葉， 隨風走前軒。” 
ideo,卷婁,1.拘攣。 衰老背駝貌。 ,《莊子‧徐無鬼》： “年齒長矣， 聰明衰矣， 而不得休歸， 所謂卷婁者也。” 
ideo,卻略,1.山背隆起貌。 ,  唐 杜甫 《橋陵詩三十韻因呈縣內諸官》： “坡陀因厚地， 卻略羅峻屏。” 
Q,厭,10.美盛貌。  ,《詩‧周頌‧載芟》： “驛驛其達， 有厭其傑。” 
ideo,厭然,2.和悅貌。  ,  宋 司馬光 《上體要疏》： “其議者固不能一， 必有參差不齊者矣， 於是天子稱制決之， 曰丞相議是， 或曰廷尉當是， 而群下厭然， 無有不服者矣。” 
Q,厲,31.腰帶下垂貌。  ,《詩‧小雅‧都人士》： “彼都人士， 垂帶而厲。” 
ideo,厲厲,2.寒風猛烈貌。  ,  晉 陶潛 《歲暮和張常侍》詩： “向夕長風起， 寒雲沒西山。 厲厲氣遂嚴， 紛紛飛鳥還。” 
ideo,另巍巍,1.獨立高聳貌。 ,  元 無名氏 《硃砂擔》第二摺： “急旋旋淺澗深溝， 剛抹過另巍巍這座層巒， 還隔着碧遙遙幾重遠岫。” 
ideo,可可,1.些微貌；少許貌。 ; 2.模糊貌；隱約貌。  ; 3.不經心貌。  ,  唐 寒山 《詩》之一五八： “昔時可可貧， 今朝最貧凍。” ;   唐 元稹 《春六十韻》： “九霄渾可可， 萬姓尚忡忡。” ;   前蜀 薛昭薀 《浣溪沙》詞： “瞥地見時猶可可， 卻來閑處暗思量。” 
ideo,各各,4.布散貌。  ,  唐 元稹 《松樹》詩： “株株遙各各， 葉葉相重重。” 
ideo,合合,1.協合貌。 ; 2.紛錯貌。  ,  前蜀 貫休 《送鄭使君》詩： “謳歌合合千門樂， 鼙角雄雄一閣雷。” ;   前蜀 貫休 《長安道》詩： “憧憧合合， 八表一轍。 黃塵霧合， 車馬火熱。”
prov,名士風流,2. 魏 晉 文士尚玄學鄙禮法， 故後世多以“名士風流”指文人放達瀟灑的風貌。  ,  清 沈初 《西清筆記‧記名跡》： “ 文敏 圖其景絕妙， 樹木森秀， 氣象開遠， 堂中賓主坐對， 妓奉觴侍， 人僅寸許， 而盡態極研， 具見名士風流之致。” 
Q,吐舌,2.驚奇貌；驚恐貌。  ,  唐 韓愈 《送窮文》： “言未畢， 五鬼相與張眼吐舌， 跳踉偃仆， 抵掌頓腳， 失笑相顧。” 
Q,吒,9.物在穴中並突露貌。  ,II
Q,听,1.笑貌。  ,  楊樹達 《積微居小學金石論叢‧釋聽》： “《說文》二篇上《口部》云： ‘听， 笑貌也。 從口， 斤聲。 ’按： 听為笑貌， 前人未有言其故者。 以愚考之， 蓋謂張口之狀也。 何以明之……《言部》訢訓喜， 《欠部》欣訓笑喜， 今通語謂取樂為開心， 蓋古之遺語矣。 忻為心開， 听文從口， 當為口開， 笑者口必開， 故听為笑貌矣。” 
Q,听听,2.歡欣貌。  ,  清 錢謙益 《趙靈均墓志銘》： “ 靈均 入而翫其妻， 施丹調粉， 寫生落墨， 畫成手為題署， 以別真贗。 日晏忘食， 听听如也。”
Q,吸,12.通“ 翕 ”。 動貌。 參見“ 吸吸 ”。,NA
ideo,吸吸,2.呼吸急促貌。  ,  漢 劉向 《九嘆‧惜賢》： “望高丘而歎涕兮， 悲吸吸而長懷。” 
ideo,吽吽,2.發怒出聲貌。  ,  元 李文蔚 《燕青博魚》第二摺： “我割捨的發會村， 怒吽吽使會狠。” 
ideo,呀然,1.張口貌；張開貌。 ; 2.深廣貌。  ; 3.開口笑貌。  ,  唐 孫樵 《書田將軍邊事》： “吾嘗伺其來， 朔風正嚴， 緩步坦途， 日次一舍， 固已呀然汗矣。” ;   唐 韓愈 《燕喜亭記》： “出者突然成邱， 陷者呀然成谷。” ;   唐 柳宗元 《東海若》： “ 東海若 呀然笑曰。”集注引 童宗說 曰： “呀然， 笑貌。” 
ideo,呀豁,1.遼闊貌；空貌。 ,  唐 高適 《東征賦》： “眺 淮 源之呀豁， 倚 楚 關之雄壯。” 
ideo,周張,4.焦躁急迫貌。  ,  清 蒲松齡 《聊齋志异‧姊妹易嫁》： “遷延少時， 事愈急， 女終無回意。 父無計， 周張欲自死。” 
ideo,呴俞,2.和悅溫順貌。  ,  唐 杜甫 《朝獻太清宮賦》： “伊神器臬兀， 而小人呴喻， 歷紀大破， 瘡痍未蘇。”
ideo,呴呴,1.溫和貌。 ,  漢 劉向 《新序‧善謀下》： “ 項王 見人恭謹， 言語呴呴。” 
